#misspelt	corrected	error-category
ديپلمانيك	ديپلماتيك	1
ديژبتال	ديجيتال	1
ديکري	ديگري	1
ديکگر	ديگر	1
ديگر ش	ديگرش	0
ديگردر	ديگر در	2
ديگرمتفاوت	ديگر متفاوت	2
ديگرمسايل	ديگر مسايل	2
ديگرچيزي	ديگر چيزي	2
ديگیر	ديگر	1
دچاروحشت	دچار وحشت	2
دگر گوني	دگرگوني	0
دگمه	دکمه	1
دگير	درگير	1
دگیر	دیگر	3
دیوست	دویست	3
دیکسید	دی اکسید	0
ذاخل	داخل	1
ذاطي	ذاتي	1
ذامن	دامن	1
ذايركتوري	دايركتوري	1
ذایره	دایره	1
ذحف	حذف	1
ذحيره	ذخيره	1
ذخائز	ذخائر	1
ذخبره	ذخیره	1
ذخريره	ذخيره	1
ذخيرهاي	ذخيره اي	0
ذرصد	درصد	1
ذستم	دستم	1
ذستگاههاي	دستگاههاي	1
ذكرخدا	ذكر خدا	2
ذل	دل	1
ذموكراسي	دموكراسي	1
ذهد	دهد	1
ذهند	دهند	1
ذولت	دولت	1
ذگر	ذکر	1
ر ا	را	0
ر اه	راه	0
ر طوبت	رطوبت	0
ر غم	رغم	0
ر وي	روي	0
رئيسجمهور	رئيس جمهور	2
رااز	را از	2
راازديد	را از ديد	2
راافزايش	را افزايش	2
رااهكار	راهكار	1
رابا	را با	2
رابته	رابطه	1
رابر	را بر	2
رابراي	را براي	2
رابكار	را بكار	2
رابه	را به	2
رابوسيله	را بوسيله	2
راتهيه	را تهيه	2
راتوي	را توي	2
راجبه	راجع به	0
راحخت	راحت	1
راختي	راحتي	1
رادارد	را دارد	2
رادر	را در	2
راديولوزي	راديولوژي	1
راديگالهاي	راديکالهاي	1
رارد	را رد	2
رارها	را رها	2
راسبب	را سبب	2
رافراهم	را فراهم	2
راقابت	رقابت	1
راكاملا	را كاملا	2
راكه	را كه	2
رالهنمايي	راهنمايي	1
رامورد	را مورد	2
رانمان	راندمان	1
راننه	راننده	1
رانيز	را نيز	2
راهحلي	راه حلي	2
راهم	را هم	2
راهموار	را هموار	2
راهنمناي	راهنماي	1
راهپيمیايي	راهپيمايي	1
راه‏اندا	راه‏انداختن	0
راوابط	روابط	1
رايه	ارايه	1
رایابی	راه یابی	0
را‌اندازي	را‌ه اندازي	0
ربابط	روابط	1
رباطه	رابطه	3
ربخته	ریخته	1
ربى	رباء	0
ربيسمان	ريسمان	1
رحختكن	رختكن	1
رختهخواب	رختخواب	1
رخدداد	رخداد	1
ردايي	زدايي	1
ردن	زدن	1
ردند	بردند	1
رده‌یندي	رده‌بندي	1
رديایبي	رديابي	1
رديقها	رديفها	1
رذيابي	رديابي	1
رروي	روي	1
ررويد	رويد	1
رزرور	رزرو	1
رزيم	رژيم	1
رساته	رسانه	1
رساته‌اي	رسانه‌اي	1
رسانبيم	رسانيم	1
رسانهاي	رسانه اي	2
رسبدند	رسیدند	1
رسبده	رسیده	1
رسدن	رسیدن	1
رسريع	سريع	1
رسنمي	رسمي	1
رسيد ن	رسيدن	0
رسيدهبود	رسيده بود	2
رسيذن	رسيدن	1
رسيزن	رسيدن	1
رشكست‏	ورشكست‏	1
رشنه	رشته	1
رشهاي	روشهاي	1
رشي	روشي	1
رضايبت	رضايت	1
رظايت	رضايت	1
رغن	روغن	1
رفتاز	رفتار	1
رفتتيم	رفتيم	1
رفتد	رفت	1
رفتن	رفتند	1
رفتنتد	رفتند	1
رفته‌يم	رفته‌ايم	1
رفتکي	رفتگي	1
رفن	رفت	1
رقار	قرار	3
رقاه	رفاه	1
رقته	رفته	1
رقع	رفع	1
ركدم	كردم	3
رلبوبيت	ربوبيت	1
رمين	زمين	1
رمينه	زمينه	1
رنا	زنا	1
رنابط	روابط	1
رنان	زنان	1
رنتبه	رتبه	1
رنچها	رنجها	1
رنک	رنگ	1
رنکهاي	رنگهاي	1
رنکگ	رنگ	1
رو ش	روش	0
رو يشبكه	روي شبكه	2
روئسيه	روسيه	1
رواايت	روايت	1
روابتي	روابطي	1
روابز	روابط	1
رواطب	روابط	3
روالط	روابط	1
روايانى	رواياتى	1
روايتنظرات	روايت نظرات	2
روبا	ربا	1
روبابط	روابط	1
روبار	رودبار	1
روبط	روابط	1
روبه	رو به	2
روتد	روند	1
روتكل	پروتكل	1
روخانیون	روحانیون	1
روري	روي	1
روزافزون	روز افزون	2
روسنايي	روشنايي	1
روشبراي	روش براي	2
روشدي	رشدي	1
روشنا ست	روشناست	2
روشیي	روشی	1
روقنكاري	روغنكاري	1
رومد	روند	1
رونش	روشن	3
روه	روده	1
رووي	روي	1
رويادها	رويدادها	1
روياوريي	رويارويي	3
رويداددهاي	رويدادهاي	1
رويداهاست	رويدادهاست	1
رويداهاي	رويدادهاي	1
رويهم	روي هم	2
ريادي	زيادي	1
رياضبت	رياضت	1
رير	ريز	1
رير	زير	1
ريرساخت	زيرساخت	1
ريزس	ريزش	1
ريست	زيست	1
ريشخ	ريشه	1
ريشهكني	ريشه كني	2
رين	زین	1
ريود	روید	3
رگلبرگ	گلبرگ	1
رگله	رگوله	1
ریاصیات	ریاضیات	1
ریسمي	رسمي	1
زادي	زیادي	1
زارت	وزارت	1
زاعي	زراعي	1
زافويي	زانويي	1
زان	زمان	1
زان	زنان	1
زانويه	ژانويه	1
زاه	راه	1
زاهمان	ازهمان	3
زاويهاي	زاويه اي	2
زايد يمي	زايدي مي	0
زاپني	ژاپني	1
زباتن	زبان	1
زباد	زیاد	1
زباناين	زبان اين	2
زبانگ	زبانک	1
زبرا	زیرا	1
زبيپ	زيپ	1
زتي	زني	1
زدو	زد و	2
زرا	زیرا	1
زرا عي	زراعي	2
زرات	ذرات	1
زراويه	زاويه	1
زرف	ژرف	1
زرواياي	زواياي	1
زروجهاي	زوجهاي	1
زكر	ذكر	1
زمامدازان	زمامداران	1
زماناز	زمان از	2
زماناي	زماني	1
زمانبنبدي	زمانبندي	1
زمانورود	زمان ورود	1
زمتن	زمان	1
زمزان	زمان	1
زمنا	زمان	3
زمنان	زمان	1
زنئگي	زندگي	1
زندانبي	زنداني	1
زنذگي	زندگي	1
زنمگ	زنگ	1
زنينه	زمينه	1
زهكسي	زهكشي	1
زوئن	ژوئن	1
زوابط	روابط	1
زوابط	ضوابط	1
زوق	ذوق	1
زيابيي	زیبایی	3
زياد ي	زيادي	0
زيانديده	زيان ديده	2
زيبادي	زيادي	1
زيراا	زيرا	1
زيرابه	زيرا به	2
زيربتايي	زيربنايي	1
زيرسيستم	زير سيستم	2
زيرنظر	زير نظر	2
زیباای	زیبایی های	0
زینداني	زنداني	1
سئولالات	سئوالات	1
سا خت	ساخت	0
ساتفاده	استفاده	3
ساجمه	ساچمه	1
ساخار	ساختار	1
ساخترا	ساختار	3
ساختمارهاي	ساختارهاي	1
ساختماناي	ساختمانهاي	1
ساختمن	ساختن	1
ساختنمان	ساختمان	1
ساختيافته	ساخت يافته	2
ساخص	شاخص	1
ساد‌ترين	ساده‌ترين	0
سارمان	سازمان	1
ساز ند	سازند	0
سازامان	سازمان	1
سازتدگان	سازندگان	1
سازمانخهاي	سازمانهاي	1
سازمانهي	سازماندهي	1
سازمان‌هاشت	سازمان هاست	0
سازمن	سازمان	1
سازمنهاي	سازمانهاي	1
سازکاري	سازگاري	1
ساسوتي	ساسوني	1
ساعتنيز	ساعت نيز	2
سالا	سال	1
سالخته	ساخته	1
سامانها	سازمانها	1
سامل	شامل	1
سانتبيمتر	سانتيمتر	1
سانتيتر	سانتيمتر	1
سانك	ساکن	3
سانيتمتر	سانتيمتر	1
سانیتيمتر	سانتيمتر	1
ساهك	سیاهك	1
ساوسن	ساسون	3
ساون	ساسون	1
ساچورت	ساپورت	1
ساگي	سادگي	1
سباسي	سیاسي	1
سببب	سبب	1
سببشد	سبب شد	2
سبرده	سپرده	1
سبرها	سربها	3
سبري	سبزي	1
سبزيچات	سبزيجات	1
سبل	سیل	1
سبنه	سینه	1
سبيمنار	سيمنار	1
ست	است	1
ستاخت	ساخت	1
ستاي	سناي	1
ستح	سطح	1
ستحی	سطحی	1
ستر	سطر	1
ستن	بستن	1
ستوح	سطوح	1
ستونا	ستونها	1
سحاوتمندانه	سخاوتمندانه	1
سحبتش	صحبتش	1
سحت	سخت	1
سحنان	سخنان	1
سحناني	سخناني	1
سخاوتمنددانه	سخاوتمندانه	1
سختار	ساختار	1
سخم	سهم	1
سدت	شدت	1
سراحت	صراحت	1
سربال	سریال	1
سربه	سر به	2
سرج	سرخ	1
سردوده	سروده	1
سردیبير	سردبير	1
سرزرمين	سرزمين	1
سرغاز	سرآغاز	1
سرغت	سرعت	1
سرف	صرف	1
سرق	شرق	1
سركت	شركت	1
سرمايسي	سرمايشي	1
سرمايهداران	سرمايه داران	2
سرمايه‏کذاريهاى	سرمايه‏گذاريهاى	1
سرمين	سرزمين	1
سروط	شروط	1
سروع	شروع	1
سروفت	سروقت	1
سروه	سوره	3
سرويبس	سرويس	1
سرويسیي	سرويسي	1
سرويه	سوريه	3
سريح	سريع	1
سريح	صريح	1
سريعر	سريعتر	1
سريك	شريك	1
سرينعتر	سريعتر	1
سرپرازی	سرفرازی	1
سزاشيب	سراشيب	1
سزامان	سازمان	3
سزد	سرد	2
سزويس	سرويس	1
سزويسهاي	سرويسهاي	1
سزگاري	سازگاري	1
سسعي	سعي	1
سسله	سلسله	1
سغادت	سعادت	1
سفركرد	سفر كرد	2
سفروبه	سفر و به	0
سفزش	سفرش	1
سفي	سفيد	1
سقارت	سفارت	1
سقارش	سفارش	1
سقر	سفر	1
سقوطشاه	سقوط شاه	2
سقيد	سفيد	1
سقيدك	سفيدك	1
سقير	سفير	1
سكبار	سبکبار	1
سكلار	سكولار	1
سكيبا	شكيبا	1
سلح	صلح	1
سلطاندر	سلطان در	2
سلطلان	سلطان	1
سلوم	سلام	1
سليب	صليب	1
سما	شما	1
سمار	شمار	1
سمغ	سمع	1
سمغ	صمغ	1
سنبلپه	سنبله	1
سنعتي	صنعتي	1
سنمادر	سن مادر	2
سننتي	سنتي	1
سنينوسي	سينوسي	1
سنکزني	سنگ زني	1
سنگبن	سنگین	1
سهرستان	شهرستان	1
سهرسنان	شهرستان	1
سهن	سنه	3
سوءاستفاه	سوءاستفاده	1
سوئال	سوال	1
سوابغ	سوابق	1
سواخ	سوراخ	1
سواره‌روی	سواره‌رو	1
سوارو	سواره‌رو	0
سوخن	سخن	1
سوراحها	سوراخها	1
سورتجلسه	صورتجلسه	1
سورع	سوره	1
سورعتش	سرعتش	1
سوريهو	سوريه و	2
سوزرانده	سوزانده	1
سوسپانسبون	سوسپانسیون	1
سومبن	سومین	1
سونم	سوم	1
سوهولت	سهولت	1
سوود	سوئد	1
سويبچ	سويیچ	1
سوکنا	سکنی	0
سيات	سياست	1
سياستخهاي	سياستهاي	1
سياسترسمي	سياست رسمي	2
سياستمدارارن	سياستمداران	1
سيالست	سياست	1
سياه ك	سياهك	0
سياهجال	سياهچال	1
سيبزميني	سيب زميني	2
سيب‌زيني	سيب‌زميني	1
سيتم	سيستم	1
سيستسم	سيستم	1
سيستم‌ايي	سيستم‌هايي	1
سيستن	سيستم	1
سيسنم	سيستم	1
سيسي	سياسي	1
سيلیندر	سيلندر	1
سيوع	شيوع	1
سيگتالي	سيگنالي	1
سپسكاشي	سپس كاشي	2
سپوده	سپرده	1
سپورده	سپرده	1
سچاه	سپاه	1
سچس	سپس	1
سکنا	سکنی	1
سکونا	سکنی	0
سیبانان	سیمبانان	1
سیباهك	سیاهك	1
سیتزان	ستیزان	3
سیع	سعی	3
سیم بانان	سیمبانان	0
شئند	شند	1
شا	اش	3
شاالوده	شالوده	1
شاخص‌بند	شاخص‌بندی	1
شاخهايى	شاخصهايى	1
شازند	سازند	1
شالعر	شاعر	1
شالهاي	سالهاي	1
شانزهم	شانزدهم	1
شانل	شامل	1
شاهخد	شاهد	1
شايديكي	شايد يكي	2
شايستان	شايستگان	1
شايسنه	شايسته	1
شايسه‌ي	شايسته‌ي	1
شباهتنهايي	شباهتهايي	1
شباهتهتاي	شباهتهاي	1
شبعه	شیعه	1
شبكه‌هايخارجي	شبكه هاي خارجي	0
شبهاهت	شباهت	1
شبوع	شیوع	1
شبيح	شبيه	1
شبگه	شبکه	1
شت	شدت	1
شتال	شتاب	1
شحامت	شهامت	1
شخت	سخت	1
شخس	شخص	1
شخهروندان	شهروندان	1
شخهري	شهري	1
شخيت	شخصيت	1
شد ه	شده	0
شدبد	شدید	1
شدبدتر	شدیدتر	1
شدة	شده	1
شدتا	شد تا	2
شدكه	شد كه	2
شدكه	شد كه	3
شدهاست	شده است	2
شدهاند	شده اند	2
شدهب	شده	1
شدهبود	شده بود	2
شدهبودند	شده بودند	2
شدهو	شده و	2
شديدنر	شديدتر	1
شد‏اند	شد‏ه اند	0
شذه	شده	1
شر ط	شرط	0
شرابط	شرایط	1
شرابطي	شرایطي	1
شراط	شرایط	1
شرايظ	شرايط	1
شرتى	شرطى	1
شرد	شد	1
شرده‏اند	شمرده‏اند	1
شرطیي	شرطي	1
شرعت	سرعت	1
شركتاي	شركتهاي	1
شركنهاي	شركتهاي	1
شرو	شروع	1
شروت	شروط	1
شرورع	شروع	1
شرووع	شروع	1
شري	شهري	1
شرگت	شرکت	1
شساه	شاه	1
شستاب	شتاب	1
شستشسوي	شستشوي	1
شسد	شصد	1
شصيت	شخصيت	1
شطح	سطح	1
شعاغ	شعاع	1
شعرياي	شعرهای	1
شقل	شغل	1
شكت	شركت	1
شكجنه	شكنجه	3
شلمل	شامل	1
شمام	شام	1
شممار	شمار	1
شناخه	شناخته	1
شناي	سناي	1
شنبدن	شنیدن	1
شنبلــه	سنبلــه	1
شنجي	سنجي	1
شه	شده	1
شهدي	شهیدي	1
شهرروند	شهروند	1
شهزي	شهري	1
شهوروندان	شهروندان	1
شهیدا	شهدا	1
شهیه	شیهه	3
شو د	شود	0
شوء	سوء	1
شوئد	شود	1
شوختگي	سوختگي	1
شودد	شود	1
شودكه	شود كه	2
شودن	شدن	1
شودند	شدند	1
شودو	شود و	2
شوري	شوراي	1
شوري	شوروي	1
شون	شدن	1
شوود	شود	1
شوکوه	شکوه	1
شيارروي	شيار روي	2
شيارفك	شيار فك	2
شيبار	شيار	1
شيرت	سيرت	1
شيستم	سيستم	1
شيغي	شيعي	1
شيه	شيوه	1
شيو	شوی	3
شيوههاي	شيوه هاي	0
شکفتی	شگفتی	1
شکنه	شکنجه	1
شکومی	شکوهی	1
شگل	شکل	1
شگنجه	شکنجه	1
شگوه	شکوه	1
شیاهت	شباهت	1
شیكه	شبكه	1
شیوند	شیون	1
صاب	صائب	1
صاب	صاحب	1
صادات	صادرات	1
صادبق	صادق	1
صادرارت	صادرات	1
صاذرات	صادرات	1
صاردرات	صادرات	1
صايب	صائب	1
صت	صوت	1
صتايع	صنايع	1
صحنهاي	صحنه اي	2
صخامتش	ضخامتش	1
صخيم	ضخيم	1
صدراعطم	صدراعظم	1
صدسال	صد سال	2
صربانها	ضربانها	1
صربه	ضربه	1
صرفن	صرفا	1
صرفنظر	صرف نظر	2
صروت	صورت	3
صروري	ضروري	1
صطح	سطح	1
صطر	سطر	1
صعف	ضعف	1
صغيرمميز	صغير مميز	2
صغیير	صغیر	1
صفحهاي	صفحه اي	2
صقحه	صفحه	1
صقر	صفر	1
صمانت	ضمانت	1
صمع	صمغ	1
صمند	صمد	1
صميمه	ضميمه	1
صنايغ	صنايع	1
صناگو	ثناگو	1
صنعتبي	صنعتي	1
صنغتي	صنعتي	1
صهيونينستي	صهيونيستي	1
صو رت	صورت	0
صود	سود	1
صورتتصادفي	صورت تصادفي	2
صورتيكه	صورتي كه	2
صورط	صورت	1
صوط	صوت	1
صيح	صحيح	1
ضامتن	ضامن	1
ضحور	حضور	3
ضخامتيا	ضخامت يا	2
ضخهامت	ضخامت	1
ضداسراييلي	ضد اسراييلي	2
ضدديني	ضد ديني	2
ضذ	ضد	1
ضربیان	ضربان	1
ضرروري	ضروري	1
ضرف	صرف	1
ضروربات	ضروریات	1
ضزبه	ضربه	1
ضعيقي	ضعيفي	1
ضني	ضمني	1
ضیط	ضبط	1
ط لب	طالب	1
طالايي	طلايي	1
طاهرا	ظاهرا	1
طببا	طبعا	1
طبح	طبخ	1
طبف	طیف	1
طبفه	طبقه	1
طبقهاول	طبقه اول	2
طبكار	طلبكار	1
طبيغي	طبيعي	1
طبيقعت	طبیعت	1
طتابق	تطابق	3
طتبيق	تطبيق	3
طح	طرح	1
طراجي	طراحي	1
طراوات	طراوت	1
طرحا	طرحها	1
طرخ	طرح	1
طرق	طرف	1
طرك	ترک	1
طرلف	طرف	1
طرور	ترور	1
طروف	ظروف	1
طريف	طرف	1
طريفت	طريقت	1
طزرف	طرف	1
طزيق	طريق	1
طضمين	تضمين	1
طعریف	تعریف	1
طف	طرف	1
طقاط	قطار	0
طقلی	طفلی	1
طلبان	طالبان	1
طلبكاار	طلبكار	1
طلفظ	تلفظ	1
طللا	طلا	1
طلول	طول	1
طمر	طور	1
طهور	ظهور	1
طوال	طول	1
طورا	تو را	0
طوركامل	طور كامل	2
طوز	طور	1
طوقع	توقع	1
طولسان	طولشان	1
طوور	طور	1
طيلتر	طويلتر	1
طیي	طي	1
ظاالمانه	ظالمانه	1
ظار	ظاهر	1
ظالمتانه	ظالمانه	1
ظاهرا‌به	ظاهرا‌ به	2
ظاهرن	ظاهرا	1
ظربان	ضربان	1
ظرح	طرح	1
ظظهرو	ظهور	1
ظنر	نظر	3
ظهرو	ظهور	3
عاراي	آراي	1
عاصر	عناصر	1
عالاقمند	علاقمند	1
عامال	عامل	1
عامالي	عاملي	1
عايفهاي	عايقهاي	1
عبادتکاههاي	عبادتگاههاي	1
عبتدايي	ابتدايي	1
عبد	عید	1
عبر	عبور	1
عبرو	عبور	3
عبن	عین	1
عتايتي	عنايتي	1
عتف	عطف	1
عتماد	اعتماد	1
عتوان	عنوان	1
عثاني	عثماني	1
عثاي	عصاي	1
عثمناني	عثماني	1
عثناني	عثماني	1
عجبی	عجیبی	1
عجزاء	اجزاء	1
عحل	عجل	1
عد	بعد	1
عد	عدد	1
عداللت	عدالت	1
عددمورد	عدد مورد	2
عدش	عدس	1
عذربي	عربي	1
عذم	عدم	1
عرائه	ارائه	1
عربتان	عربستان	1
عرتعاشات	ارتعاشات	1
عرسبتان	عربستان	3
عرسه	عرصه	1
عريص	عريض	1
عزبزم	عزیزم	1
عشاره	اشاره	1
عصو	عضو	1
عضاداری	عزاداری	1
عضطراري	اضطراري	1
عضمت	عظمت	1
عضوافه	اضافه	0
عطيم	عظيم	1
عظم	عظیم	1
عظوي	عضوي	1
عغزلهاي	غزلهای	1
عفزود	افزود	1
عفط	عطف	2
عقديه	عقیده	3
عقلب	اغلب	1
عكس‌لعمل	عکس‌العمل	1
علات‏	علت‏	1
علافه‌ي	علاقه‌ي	1
علاق	علایق	1
علاقمندند	علاقه مندند	2
علاقمنند	علاقمند	1
علاقند	علاقمند	1
علاقنمند	علاقمند	1
علام	اعلام	1
علامنت	علامت	1
علايبق	علايق	1
عللت	علت	1
علکل	الکل	1
عمئد	عمود	1
عما	عمل	1
عمبق	عمیق	1
عمبيقي	عميقي	1
عمبگر	عملگر	1
عمراتني	عمراني	1
عمراتي	عمراني	1
عمغ	عمق	1
عمفي	عمقي	1
عملايت	عملیات	3
عملایت	عملیات	3
عملبيات	عمليات	1
عملكدهايش	عملكردهايش	1
عملكر د	عملكرد	0
عملكنند	عمل كنند	2
عملمي	عملي	1
عمليباتي	عملياتي	1
عمنلا	عملا	1
عمنود	عمود	1
عمو د	عمود	0
عمور	امور	1
عميات	عمليات	1
عميث	عميق	1
عمیليات	عمليات	1
عنايم	غنايم	1
عندكي	اندكي	1
عنر	عمر	1
عنسر	عنصر	1
عنصاف	انصاف	1
عنصربراي	عنصر براي	2
عنواتن	عنوان	1
عنولن	عنوان	1
عنومي	عمومي	1
عنون	عنوان	1
عهداف	اهداف	1
عهدهدار	عهده دار	2
عواخر	اواخر	1
عواض	عوارض	1
عوان	عنوان	1
عوانل	عوامل	1
عوص	عوض	1
عومون	عموم	0
عومون	عموم	1
عيده	ايده	1
عير	غير	1
عيلات	ايلات	1
عگس‌العمل	عکس‌العمل	1
عیور	عبور	1
غابل	قابل	1
غابله	قابله	1
غادات	عادات	1
غالابا	غالبا	0
غالبيت	غابليت	3
غالیا	غالبا	1
غدايي	غذايي	1
غدري	قدري	1
غذلی	غذای	1
غرار	قرار	1
غراق	عراق	1
غرصه	عرصه	1
غرن	قرن	1
غریحه	قریحه	1
غزایی	غذایی	1
غزب	غرب	1
غطف	عطف	1
غلب	غرب	1
غلظنهاي	غلظتهاي	1
غلیه	غلبه	1
غمانگيز	غم انگيز	2
غناصر	عناصر	1
غوروب	غروب	1
غيراحتمالي	غير احتمالي	2
غيرربوى	غير ربوى	2
غيرمتمركز	غير متمركز	2
غيرمتوقع	غير متوقع	2
غيرمجاز	غير مجاز	2
غيرنرمال	غير نرمال	2
غيرنظامي	غير نظامي	2
غيرپبوسته	غيرپیوسته	1
غيسي	عيسي	1
غيود	قيود	1
فاثل	فاصل	1
فار س	فارس	0
فاصلاب	فاضلاب	1
فاطمنه	فاطمه	1
فالن	فلان	1
فاموش	فراموش	1
فانون	قانون	1
فايغ	فايق	1
فايلي	فاميلي	1
فبرستند	فرستند	1
فبل	قبل	1
فبلترهاي	فیلترهاي	1
فبلي	قبلي	1
فجحر	فجر	1
فد	فرد	1
فدراال	فدرال	1
فر داده	فراداده	1
فر ستاده	فرستاده	0
فرآوري	فرآوری	3
فراامد	فرا آمد	0
فراحم	فراهم	1
فرازو	فراز و	2
فرامن	فرمان	3
فراموشكرد	فراموش كرد	2
فرانسها	فرکانسها	1
فراهیم	فراهم	1
فراوانينيز	فراواني نيز	2
فراواي	فراواني	1
فربم	فریم	1
فرحنگي	فرهنگي	1
فرخنگي	فرهنگي	1
فرذ	فرد	1
فرساده	فرستاده	1
فرستادشد	فرستاده شد	0
فرستاه	فرستاده	1
فرستايد	فرستاديد	1
فرستگان	فرشتگان	1
فرسنتنده	فرستنده	1
فرشتگاه	فرشتگان	1
فرشنده	فروشنده	1
فرشنه	فرشته	1
فرضبراي	فرض براي	2
فرضبه	فرضیه	1
فرعیي	فرعي	1
فرغي	فرعي	1
فرقن	فرقون	1
فركاسنها	فركانسها	3
فركانش	فركانس	1
فركانشهاي	فركانسهاي	1
فرماتي	فرماني	1
فرماده	فرمانده	1
فرمان بران	فرمانبران	0
فرهتگ	فرهنگ	1
فرهنک	فرهنگ	1
فرهنکي	فرهنگي	1
فروئپاشي	فروپاشي	1
فرواني	فراواني	1
فرواوان	فراوان	1
فروسهاي	فروشهاي	1
فروشندگاه	فروشندگان	1
فروپاسي	فروپاشي	1
فروگاههاي	فرودگاههاي	1
فري	فرقي	1
فریكانس	فركانس	1
فزا	فضا	1
فزندانم	فرزندانم	1
فزوش	فروش	1
فسارها	فشارها	1
فسمي	قسمي	1
فشاراين	فشار اين	2
فشارقرار	فشار قرار	2
فشایري	فشاري	1
فشزده	فشرده	1
فصاي	فضاي	1
فضايیي	فضايي	1
فط	فقط	1
فطع	قطع	1
فظل	فصل	1
فعالتی	فعالیت	3
فعاللانه	فعالانه	1
فعالينهاى	فعاليتهاى	1
فعايتهاي	فعاليتهاي	1
فغالان	فعالان	1
فغاليتهاي	فعاليتهاي	1
فغالیت	فعالیت	1
فقاني	فوقاني	1
فقت	فقط	1
فلاگت	فلاکت	1
فلسیطين	فلسطين	1
فلشطيني	فلسطيني	1
فلیسطين	فلسطين	1
فمید	مفید	3
فناري	فناوري	1
فهال	فعال	1
فوانين	قوانين	1
فواي	قواي	1
فور	فرو	3
فورزي	فوري	1
فورو	فرو	1
فوقطا	موقتا	0
فونون	فنون	1
فيريكي	فيزيكي	1
فيريولوژيك	فيزيولوژيك	1
فيزكي	فيزیكي	1
فيزيكدن	فيزيكدان	1
فيزيولوژبكي	فيزيولوژیكي	1
فيزيگي	فيزيکي	1
فيكسپرها	فيكسچرها	1
فیلترنگ	فیلترینگ	1
قئت	قوت	1
قا لب	قالب	0
قائا	قائل	1
قائنم	قائم	1
قابلب	قالب	1
قابلت	قابلیت	1
قابيت	قابليت	1
قارح	قارچ	1
قارد	قادر	1
قارر	قرار	3
قاصله	فاصله	1
قاطح	قاطع	1
قاعاده	قاعده	1
قاغده	قاعده	1
قالب گيرپرس	قالب گير پرس	0
قالبساز ي	قالبسازي	0
قالبل	قابل	1
قالبو	قالب و	2
قالليت	قابليت	1
قالیها	قالبها	1
قام	قائم	1
قانومن	قانون	1
قانونگداز	قانونگذار	0
قانونگزار	قانونگذار	1
قاون	قانون	1
قاوني	قانوني	1
قایم	قائم	1
قبابل	قابل	1
قبليت	قابليت	1
قبلیش	قبیله‌اش	0
قبچي	قیچي	1
قتعات	قطعات	1
قخريد	خرید	1
قدت	دقت	1
قدت	دقت	3
قدرزت	قدرت	1
قدرزي	قدري	1
قدرن	قدرت	1
قدزت	قدرت	1
قدزتي	قدرتي	1
قدلم	قدم	1
قدمنت	قدمت	1
قديميترويندوز	قديميتر ويندوز	2
قذم	قدم	1
قرا	قرار	1
قرادراد	قرارداد	3
قرارادي	قراردادي	1
قراربود	قرار بود	2
قراردادتشريفاتي	قرارداد تشريفاتي	2
قراردادن	قرار دادن	2
قرارداشت	قرار داشت	2
قراردهد	قرار دهد	2
قراردهم	قرار دهم	2
قرارم	قرار می	0
قرارگرفتن	قرار گرفتن	2
قرارگرفته	قرار گرفته	2
قرارگيرد	قرار گيرد	2
قرارگيرد	قرار گيرد	3
قرازداد	قرارداد	1
قران	قرآن	1
قراوان	فراوان	1
قرايت	قرائت	1
قرباتي	قرباني	1
قردت	قدرت	3
قررار	قرار	1
قرردادي	قراردادي	1
قرضياتي	فرضياتي	1
قرنطنينه‌اي	قرنطينه‌اي	1
قريبنه	قرينه	1
قرچ	قارچ	1
قزائت	قرائت	1
قزاينده	فزاينده	1
قزاينده‌اي	فزاينده‌اي	1
قزه	غزه	1
قستى	قسمتى	1
قسر	قیر	1
قسمتداخلي	قسمت داخلي	2
قسمتنهاي	قسمتهاي	1
قشرده‌سازي	فشرده‌سازي	1
قصددارد	قصد دارد	2
قصل	فصل	1
قصمت	قسمت	1
قصمي	قسمي	1
قطعتامه	قطعنامه	1
قطعنامنه‌اي	قطعنامه‌اي	1
قطعهقفطعه	قطعه قطعه	0
قطه	قطره	1
قطه	قطعه	1
قعال	فعال	1
قعالي	فعالي	1
قعطعه	قطعه	1
قعطعي	قطعي	1
قفط	فقط	3
قلزی	فلزی	1
قلسطين	فلسطين	1
قلمر	قلمرو	1
قلمروگسترده	قلمرو گسترده	2
قلمور	قلمرو	3
قلنداد	قلمداد	1
قمست	قسمت	3
قناوري	فناوري	1
قندرهار	قندهار	1
قنون	قانون	1
قهم	فهم	1
قهو‌اي	قهو‌ه اي	0
قوطر	قطر	1
قوممن	قوم من	2
قيرو	قیر و	2
قيلتر	فيلتر	1
قیال	قبال	1
قیبل	قبل	1
قیبل	قبیل	3
قیلا	قبلا	1
كا	كار	1
كا ر	كار	0
كا ربران	كاربران	0
كا ردر	كار در	0
كا ري	كاري	0
كابر	كاربر	1
كاخهش	كاهش	1
كادب	كاذب	1
كار شناسانه	كارشناسانه	0
كارآئي	كارآیي	1
كاراكرتي	كاراكتري	3
كاراهايي	كارهايي	1
كارايجاد	كار ايجاد	2
كاربايد	كار بايد	2
كاربدي	كاربردي	1
كاربرانیي	كاربراني	1
كاربرذي	كاربردي	1
كاربرو	كاربر و	2
كاربزران	كاربران	1
كارحانه	كارخانه	1
كاررا	كار را	2
كارربر	كاربر	1
كاررفته	كار رفته	2
كارري	كاري	1
كارساده	كار ساده	2
كارشناسرسمي	كارشناس رسمي	2
